"Player","Position"
"Ryan Bertrand","LB"
"Ryan Christie","AM"
"Ryan Fraser","LM"
"Ryan Fredericks","RB"
"Ryan Sessegnon","WB"
"Ryan Shawcross","CB"
"Ryan Yates","DM"
"Sadio Mané","LW"
"Saïd Benrahma","LW"
"Saido Berahino","FW"
"Salomón Rondón","FW"
"Sam Baldock","AM"
"Sam Byram","LB"
"Sam Clucas","DM"
"Sam Field","CM"
"Sam Gallagher","FW"
"Sam Greenwood","DM"
"Sam Johnstone","GK"
"Sam McQueen","LB"
"Sam Surridge","FW"
"Sam Vokes","FW"
"Saman Ghoddos","WB"
"Samir Nasri","AM"
"Samir Santos","CB"
"Samuel Kalu","FW"
"Sander Berge","CM"
"Sandro Ramírez","FW"
"Saúl Ñíguez","DM"
"Scott Arfield","LM"
"Scott Carson","GK"
"Scott Dann","CB"
"Scott Malone","LB"
"Scott McKenna","CB"
"Scott McTominay","DM"
"Sead Kolašinac","LB"
"Séamus Coleman","RB"
"Sean Longstaff","CM"
"Sean Morrison","CB"
"Sebastian Prödl","CB"
"Sébastien Haller","FW"
"Sekou Mara","FW"
"Semi Ajayi","CB"
"Serge Aurier","RB"
"Sergi Canós","WB"
"Sergio Agüero","FW"
"Sergio Reguilón","LB"
"Sergio Rico","GK"
"Sergio Romero","GK"
"Shandon Baptiste","CM"
"Shane Duffy","CB"
"Shane Long","FW"
"Shinji Okazaki","AM"
"Shkodran Mustafi","CB"
"Shola Shoretire","RW"
"Sidnei Tavares","CM"
"Simon Francis","CB"
"Simon Mignolet","GK"
"Simon Moore","GK"
"Sofiane Boufal","LW"
"Sokratis Papastathopoulos","CB"
"Sol Bamba","CB"
"Solly March","WB"
"Son Heung-min","LW"
"Sonny Perkins","FW"
"Stefan Johansen","CM"
"Stefano Okaka","FW"
"Stephan Lichtsteiner","RB"
"Stephen Ireland","AM"
"Stephen Ward","LB"
"Steve Cook","CB"
"Steve Mounié","FW"
"Steven Alzate","DM"
"Steven Bergwijn","LW"
"Steven Davis","DM"
"Steven Defour","CM"
"Stuart Armstrong","RM"
"Stuart Dallas","CM"
"Stuart McKinstry","RM"
"Sullay Kaikai","CM"
"Sven Botman","CB"
"Tahith Chong","FW"
"Taiwo Awoniyi","FW"
"Takehiro Tomiyasu","RB"
"Takumi Minamino","CM"
"Tammy Abraham","FW"
"Tanguy Ndombele","CM"
"Tariq Lamptey","WB"
"Tariqe Fosu","LB"
"Taylor Richards","CM"
"Teemu Pukki","FW"
"Terence Kongolo","CB"
"Theo Corbeanu","FW"
"Theo Walcott","RW"
"Thiago Alcántara","CM"
"Thiago Silva","CB"
"Thibaut Courtois","GK"
"Thilo Kehrer","CB"
"Thomas Doyle","CM"
"Thomas Partey","DM"
"Tiemoué Bakayoko","CM"
"Tim Iroegbunam","DM"
"Tim Krul","GK"
"Tim Ream","CB"
"Timm Klose","CB"
"Timo Werner","FW"
"Timothy Castagne","RB"
"Timothy Fosu-Mensah","RB"
"Toby Alderweireld","CB"
"Todd Cantwell","LW"
"Tom Cairney","AM"
"Tom Carroll","CM"
"Tom Cleverley","CM"
"Tom Davies","DM"
"Tom Edwards","RB"
"Tom Heaton","GK"
"Tom Ince","AM"
"Tom Trybull","DM"
"Tomáš Souček","DM"
"Tomer Hemed","FW"
"Tommy Smith","RB"
"Tony Springett","RM"
"Tosin Adarabioyo","CB"
"Toti Gomes","CB"
"Trent Alexander-Arnold","RB"
"Trevoh Chalobah","CB"
"Trézéguet","RW"
"Troy Deeney","FW"
"Troy Parrott","AM"
"Tyler Adams","DM"
"Tyler Morton","DM"
"Tyler Onyango","DM"
"Tyler Roberts","CM"
"Tyreke Johnson","LW"
"Tyrell Malacia","LB"
"Tyrese Campbell","FW"
"Tyrese Francois","WB"
"Tyrick Mitchell","LB"
"Tyrone Mings","CB"
"Uwe Hünemeier","CB"
"Valentino Lazaro","WB"
"Valentino Livramento","RB"
"Vicente Guaita","GK"
"Vicente Iborra","DM"
"Víctor Camarasa","CM"
"Victor Lindelöf","CB"
"Victor Moses","WB"
"Victor Wanyama","DM"
"Vincent Janssen","FW"
"Vincent Kompany","CB"
"Virgil van Dijk","CB"
"Vitaliy Mykolenko","LB"
"Vitaly Janelt","CM"
"Vitinha","AM"
"Vladimír Coufal","RB"
"Wayne Hennessey","GK"
"Wayne Rooney","AM"
"Wayne Routledge","RM"
"Wes Morgan","CB"
"Wesley Fofana","CB"
"Wesley Hoedt","CB"
"Wesley Moraes","FW"
"Wilfred Ndidi","DM"
"Wilfried Bony","FW"
"Wilfried Zaha","FW"
"Will Hughes","CM"
"Will Norris","GK"
"William Saliba","CB"
"William Smallbone","RM"
"William Thomas Fish","CB"
"William Troost-Ekong","CB"
"Willian","RW"
"Willian José","FW"
"Willy Boly","CB"
"Willy Caballero","GK"
"Winston Reid","CB"
"Wout Weghorst","FW"
"Xande Silva","AM"
"Xherdan Shaqiri","RW"
"Yan Valery","WB"
"Yannick Bolasie","LW"
"Yaya Touré","DM"
"Yerry Mina","CB"
"Yoane Wissa","FW"
"Yohan Benalouane","RB"
"Yohan Cabaye","DM"
"Yoshinori Mutō","FW"
"Younès Kaboul","CB"
"Youri Tielemans","CM"
"Yves Bissouma","DM"
"Zack Steffen","GK"
"Zlatan Ibrahimović","AM"
